valid,date,subject,run,reject_epoch,,,,,,,,,,,,,,,
1,191008,1,1,17,22,30,33,,,,,,,,,,,,
1,191008,1,2,1,6,13,29,30,,,,,,,,,,,
1,191008,1,3,13,40,,,,,,,,,,,,,,
1,191008,1,4,2,11,19,22,24,,,,,,,,,,,
1,191008,1,5,,,,,,,,,,,,,,,,
1,191009,1,1,,,,,,,,,,,,,,,,
1,191009,1,2,,,,,,,,,,,,,,,,
1,191009,1,3,19,39,42,,,,,,,,,,,,,
1,191009,1,4,20,22,23,39,43,,,,,,,,,,,
1,191009,1,5,7,12,36,37,,,,,,,,,,,,
1,191009,1,6,12,16,27,29,36,38,,,,,,,,,,
1,191009,1,7,14,17,19,48,,,,,,,,,,,,
1,191009,1,8,34,,,,,,,,,,,,,,,
1,191009,2,1,1,,,,,,,,,,,,,,,
1,191009,2,2,8,24,,,,,,,,,,,,,,
1,191009,2,3,,,,,,,,,,,,,,,,
1,191009,2,4,,,,,,,,,,,,,,,,
1,191009,2,5,,,,,,,,,,,,,,,,
1,191009,2,6,,,,,,,,,,,,,,,,
1,191009,2,7,4,,,,,,,,,,,,,,,
1,191009,2,8,,,,,,,,,,,,,,,,
1,191010,1,1,,,,,,,,,,,,,,,,
1,191010,1,2,,,,,,,,,,,,,,,,
1,191010,1,3,1,,,,,,,,,,,,,,,
1,191010,1,4,,,,,,,,,,,,,,,,
1,191010,1,5,18,,,,,,,,,,,,,,,
1,191010,1,6,2,4,,,,,,,,,,,,,,
1,191010,1,7,19,,,,,,,,,,,,,,,
1,191010,1,8,47,48,,,,,,,,,,,,,,
1,191010,1,9,15,16,33,,,,,,,,,,,,,
1,191010,1,10,31,,,,,,,,,,,,,,,
1,191015,1,1,1,30,32,33,36,41,47,,,,,,,,,
1,191015,1,2,6,21,27,28,32,36,44,,,,,,,,,
1,191015,1,3,15,17,46,49,50,,,,,,,,,,,
1,191015,1,4,3,14,21,35,43,46,,,,,,,,,,
1,191015,1,5,,,,,,,,,,,,,,,,
1,191016,1,1,5,22,24,49,,,,,,,,,,,,
1,191016,1,2,27,38,40,41,43,45,46,48,50,,,,,,,
1,191016,1,3,11,12,21,24,25,26,30,35,36,37,40,41,,,,
1,191016,1,4,20,22,29,38,45,,,,,,,,,,,
1,191016,1,5,,,,,,,,,,,,,,,,
1,191016,1,6,1,22,,,,,,,,,,,,,,
1,191016,1,7,16,18,20,28,33,43,45,49,,,,,,,,
1,191016,1,8,4,7,10,12,14,16,23,29,30,33,35,,,,,
1,191017,1,1,,,,,,,,,,,,,,,,
1,191017,1,2,1,24,44,46,,,,,,,,,,,,
1,191017,1,3,39,,,,,,,,,,,,,,,
1,191106,1,1,,,,,,,,,,,,,,,,
1,191106,1,2,10,,,,,,,,,,,,,,,
1,191106,1,3,,,,,,,,,,,,,,,,
1,191106,1,4,,,,,,,,,,,,,,,,
1,191106,1,5,12,41,49,,,,,,,,,,,,,
1,191106,1,6,41,,,,,,,,,,,,,,,
1,191106,1,7,21,37,42,45,48,,,,,,,,,,,
1,191106,1,8,7,11,34,42,43,46,,,,,,,,,,
1,191106,1,9,5,,,,,,,,,,,,,,,
1,191106,1,10,,,,,,,,,,,,,,,,
1,191108,1,1,1,,,,,,,,,,,,,,,
1,191108,1,2,,,,,,,,,,,,,,,,
1,191108,1,3,,,,,,,,,,,,,,,,
1,191108,1,4,,,,,,,,,,,,,,,,
1,191108,1,5,,,,,,,,,,,,,,,,
1,191108,1,6,,,,,,,,,,,,,,,,
1,191108,1,7,,,,,,,,,,,,,,,,
1,191108,1,8,8,31,,,,,,,,,,,,,,
1,191108,1,9,1,16,28,34,37,48,50,,,,,,,,,
1,191108,1,10,46,,,,,,,,,,,,,,,
1,191108,1,11,42,,,,,,,,,,,,,,,
1,191108,1,12,48,,,,,,,,,,,,,,,
1,191119,1,1,,,,,,,,,,,,,,,,
1,191119,1,2,,,,,,,,,,,,,,,,
1,191119,1,3,,,,,,,,,,,,,,,,
1,191119,1,4,,,,,,,,,,,,,,,,
1,191119,1,5,,,,,,,,,,,,,,,,
1,191119,1,6,11,26,28,44,,,,,,,,,,,,
1,191119,1,7,,,,,,,,,,,,,,,,
1,191119,1,8,18,,,,,,,,,,,,,,,
1,191119,1,9,,,,,,,,,,,,,,,,
1,191119,1,10,14,,,,,,,,,,,,,,,
1,191119,1,11,6,26,,,,,,,,,,,,,,
1,191119,1,12,48,,,,,,,,,,,,,,,
1,191120,1,1,7,21,47,49,50,,,,,,,,,,,
1,191120,1,2,3,6,10,11,47,48,49,50,,,,,,,,
1,191120,1,3,4,11,13,28,30,33,36,43,,,,,,,,
1,191120,1,4,,,,,,,,,,,,,,,,
1,191120,1,5,24,30,48,,,,,,,,,,,,,
1,191120,1,6,9,12,18,28,37,,,,,,,,,,,
1,191120,1,7,,,,,,,,,,,,,,,,
1,191120,1,8,1,10,43,50,,,,,,,,,,,,
1,191120,1,9,,,,,,,,,,,,,,,,
1,191120,1,10,,,,,,,,,,,,,,,,
1,191120,1,11,29,40,,,,,,,,,,,,,,
1,191120,1,12,32,34,35,,,,,,,,,,,,,
1,191121,1,1,,,,,,,,,,,,,,,,
1,191121,1,2,48,,,,,,,,,,,,,,,
1,191121,1,3,4,23,,,,,,,,,,,,,,
1,191121,1,4,9,,,,,,,,,,,,,,,
1,191121,1,5,15,19,,,,,,,,,,,,,,
1,191121,1,6,23,30,49,,,,,,,,,,,,,
1,191121,1,7,10,18,29,30,42,46,,,,,,,,,,
1,191121,1,8,,,,,,,,,,,,,,,,
1,191121,1,9,9,17,20,32,38,42,,,,,,,,,,
1,191121,1,10,13,27,,,,,,,,,,,,,,
1,191126,1,1,,,,,,,,,,,,,,,,
1,191126,1,2,,,,,,,,,,,,,,,,
1,191126,1,3,17,46,,,,,,,,,,,,,,
1,191128,1,1,10,23,46,,,,,,,,,,,,,
1,191128,1,2,,,,,,,,,,,,,,,,
1,191128,1,3,,,,,,,,,,,,,,,,
1,191128,1,4,20,30,,,,,,,,,,,,,,
1,191128,1,5,10,40,,,,,,,,,,,,,,
1,191128,1,6,17,30,32,45,48,,,,,,,,,,,
1,191128,1,7,7,11,14,32,38,43,,,,,,,,,,
1,191128,1,8,21,,,,,,,,,,,,,,,
1,191128,1,9,3,23,26,47,,,,,,,,,,,,
1,191128,1,10,4,8,12,15,48,,,,,,,,,,,
1,191128,1,11,20,25,33,37,,,,,,,,,,,,
1,191128,1,12,1,5,24,38,44,,,,,,,,,,,
1,191129,1,1,,,,,,,,,,,,,,,,
1,191129,1,2,6,50,,,,,,,,,,,,,,
1,191129,1,3,23,24,,,,,,,,,,,,,,
1,191129,1,4,24,30,39,,,,,,,,,,,,,
1,191129,1,5,4,5,8,9,17,18,19,25,26,30,,,,,,
1,191129,1,6,11,35,,,,,,,,,,,,,,
1,191129,1,7,13,27,,,,,,,,,,,,,,
1,191129,1,8,2,27,43,47,48,49,50,,,,,,,,,
1,191129,1,9,2,3,4,5,6,7,8,9,12,17,24,26,27,38,47,
1,191129,1,10,,,,,,,,,,,,,,,,
1,191205,1,1,,,,,,,,,,,,,,,,
1,191205,1,2,,,,,,,,,,,,,,,,
1,191205,1,3,,,,,,,,,,,,,,,,
1,191205,1,4,,,,,,,,,,,,,,,,
1,191205,1,5,,,,,,,,,,,,,,,,
1,191205,1,6,,,,,,,,,,,,,,,,
1,191205,1,7,6,12,,,,,,,,,,,,,,
1,191205,1,8,,,,,,,,,,,,,,,,
1,191205,1,9,,,,,,,,,,,,,,,,
1,191205,1,10,,,,,,,,,,,,,,,,
1,191205,1,11,32,,,,,,,,,,,,,,,
1,191205,1,12,,,,,,,,,,,,,,,,
0,191210,1,1,2,11,44,,,,,,,,,,,,,
0,191210,1,2,5,8,13,22,23,27,29,32,46,49,,,,,,
0,191210,1,3,6,9,23,25,36,39,42,45,48,50,,,,,,
